row_idx,subject_id,sentence_index,task_name,split_name,pickle_file,target_string,seq_len
40,ZAB,134,task3-TSR-2.0,train,v1-task1-SR-ZAB-134.pickle,Festers in just such a dungpile that you'd swear you were watching monkeys flinging their feces at you.,14
41,ZAB,135,task3-TSR-2.0,train,v1-task1-SR-ZAB-135.pickle,under-rehearsed and lifeless,4
42,ZAB,136,task3-TSR-2.0,train,v1-task1-SR-ZAB-136.pickle,Exactly what you'd expect from a guy named Kaos.,8
43,ZAB,137,task3-TSR-2.0,train,v1-task1-SR-ZAB-137.pickle,"If legendary shlockmeister Ed Wood had ever made a movie about a vampire, it probably would look a lot like this alarming production, adapted from Anne Rice's novel The Vampire Chronicles.",23
44,ZAB,138,task3-TSR-2.0,train,v1-task1-SR-ZAB-138.pickle,"For those for whom the name Woody Allen was once a guarantee of something fresh, sometimes funny, and usually genuinely worthwhile, Hollywood Ending is a depressing experience.",24
45,ZAB,139,task3-TSR-2.0,train,v1-task1-SR-ZAB-139.pickle,Bella is the picture of health with boundless energy until a few days before she dies.,12
46,ZAB,14,task3-TSR-2.0,train,v1-task1-SR-ZAB-14.pickle,"For the most part, the ingredients are there.",7
47,ZAB,140,task3-TSR-2.0,train,v1-task1-SR-ZAB-140.pickle,"The fun of the movie is the chance it affords to watch Jackson, who also served as executive producer, take his smooth, shrewd, powerful act abroad.",23
48,ZAB,141,task3-TSR-2.0,train,v1-task1-SR-ZAB-141.pickle,What should have been a cutting Hollywood satire is instead about as fresh as last week's issue of Variety.,16
49,ZAB,142,task3-TSR-2.0,train,v1-task1-SR-ZAB-142.pickle,"Cox offers plenty of glimpses at existing photos, but there are no movies of Nijinsky, so instead the director treats us to an aimless hodgepodge.",20
50,ZAB,143,task3-TSR-2.0,train,v1-task1-SR-ZAB-143.pickle,Aaliyah rarely dampens her diva persona enough to spark genuine chemistry with Townsend.,12
51,ZAB,144,task3-TSR-2.0,train,v1-task1-SR-ZAB-144.pickle,Mr. Soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious.,14
52,ZAB,145,task3-TSR-2.0,train,v1-task1-SR-ZAB-145.pickle,Mazel tov to a film about a family's joyous life acting on the Yiddish stage.,14
53,ZAB,146,task3-TSR-2.0,train,v1-task1-SR-ZAB-146.pickle,... would be a total loss if not for two supporting performances taking place at the movie's edges.,14
54,ZAB,147,task3-TSR-2.0,train,v1-task1-SR-ZAB-147.pickle,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975.,20
55,ZAB,148,task3-TSR-2.0,train,v1-task1-SR-ZAB-148.pickle,"Loud, chaotic and largely unfunny.",5
56,ZAB,149,task3-TSR-2.0,train,v1-task1-SR-ZAB-149.pickle,The immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D.,20
57,ZAB,15,task3-TSR-2.0,train,v1-task1-SR-ZAB-15.pickle,"But if you've paid a matinee price and bought a big tub of popcorn, there's guilty fun to be had here.",16
58,ZAB,150,task3-TSR-2.0,train,v1-task1-SR-ZAB-150.pickle,It's everything you don't go to the movies for.,7
59,ZAB,151,task3-TSR-2.0,train,v1-task1-SR-ZAB-151.pickle,"Harris is supposed to be the star of the story, but comes across as pretty dull and wooden.",14
60,ZAB,152,task3-TSR-2.0,train,v1-task1-SR-ZAB-152.pickle,Allen's funniest and most likeable movie in years.,6
61,ZAB,153,task3-TSR-2.0,train,v1-task1-SR-ZAB-153.pickle,"For those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half.",26
62,ZAB,154,task3-TSR-2.0,train,v1-task1-SR-ZAB-154.pickle,"There is a refreshing absence of cynicism in Stuart Little 2 -- quite a rarity, even in the family film market.",17
63,ZAB,155,task3-TSR-2.0,train,v1-task1-SR-ZAB-155.pickle,There are plot holes big enough for Shamu the killer whale to swim through.,12
64,ZAB,156,task3-TSR-2.0,train,v1-task1-SR-ZAB-156.pickle,... always remains movingly genuine.,5
65,ZAB,157,task3-TSR-2.0,train,v1-task1-SR-ZAB-157.pickle,"Stitch is a bad mannered, ugly and destructive little ****.",8
66,ZAB,158,task3-TSR-2.0,train,v1-task1-SR-ZAB-158.pickle,The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael.,15
67,ZAB,159,task3-TSR-2.0,train,v1-task1-SR-ZAB-159.pickle,Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other.,9
68,ZAB,16,task3-TSR-2.0,train,v1-task1-SR-ZAB-16.pickle,"There's not much to Fatale, outside of its stylish surprises... but that's OK.",11
69,ZAB,160,task3-TSR-2.0,train,v1-task1-SR-ZAB-160.pickle,This is one of those war movies that focuses on human interaction rather than battle and action sequences... and it's all the stronger because of it.,18
70,ZAB,161,task3-TSR-2.0,train,v1-task1-SR-ZAB-161.pickle,"Like life on the island, the movie grows boring despite the scenery.",13
71,ZAB,162,task3-TSR-2.0,train,v1-task1-SR-ZAB-162.pickle,It's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair.,18
72,ZAB,163,task3-TSR-2.0,train,v1-task1-SR-ZAB-163.pickle,An atonal estrogen opera that demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath at his wedding.,20
73,ZAB,164,task3-TSR-2.0,train,v1-task1-SR-ZAB-164.pickle,"Even by the intentionally low standards of frat-boy humor, Sorority Boys is a bowser.",13
74,ZAB,165,task3-TSR-2.0,train,v1-task1-SR-ZAB-165.pickle,"Director of photography Benoit Delhomme shot the movie in delicious colors, and the costumes and sets are grand.",15
75,ZAB,166,task3-TSR-2.0,train,v1-task1-SR-ZAB-166.pickle,The only entertainment you'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them.,9
76,ZAB,167,task3-TSR-2.0,train,v1-task1-SR-ZAB-167.pickle,The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people.,18
77,ZAB,168,task3-TSR-2.0,train,v1-task1-SR-ZAB-168.pickle,"A bittersweet contemporary comedy about benevolent deception, which, while it may not rival the filmmaker's period pieces, is still very much worth seeing.",18
78,ZAB,169,task3-TSR-2.0,train,v1-task1-SR-ZAB-169.pickle,Attal pushes too hard to make this a comedy or serious drama.,10
79,ZAB,17,task3-TSR-2.0,train,v1-task1-SR-ZAB-17.pickle,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",26
80,ZAB,170,task3-TSR-2.0,train,v1-task1-SR-ZAB-170.pickle,Isabelle Huppert excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrol's most intense psychological mysteries.,20
81,ZAB,171,task3-TSR-2.0,train,v1-task1-SR-ZAB-171.pickle,A small movie with a big impact.,5
82,ZAB,173,task3-TSR-2.0,train,v1-task1-SR-ZAB-173.pickle,Photographed with melancholy richness and eloquently performed yet also decidedly uncinematic.,11
83,ZAB,174,task3-TSR-2.0,train,v1-task1-SR-ZAB-174.pickle,"Hey Arnold! is now stretched to barely feature length, with a little more attention paid to the animation.",16
84,ZAB,175,task3-TSR-2.0,train,v1-task1-SR-ZAB-175.pickle,"After that, it just gets stupid and maudlin.",6
85,ZAB,176,task3-TSR-2.0,train,v1-task1-SR-ZAB-176.pickle,"The stunning, dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension.",15
86,ZAB,177,task3-TSR-2.0,train,v1-task1-SR-ZAB-177.pickle,"Plods along, minus the twisted humor and eye-popping visuals that have made Miike... a cult hero.",13
87,ZAB,178,task3-TSR-2.0,train,v1-task1-SR-ZAB-178.pickle,"Impresses as a skillfully assembled, highly polished and professional adaptation... just about as chilling and unsettling as `Manhunter' was.",16
88,ZAB,179,task3-TSR-2.0,train,v1-task1-SR-ZAB-179.pickle,"For the most part, it's a work of incendiary genius, steering clear of knee-jerk reactions and quick solutions.",14
89,ZAB,18,task3-TSR-2.0,train,v1-task1-SR-ZAB-18.pickle,"This version moves beyond the original's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema's inability to stand in for true, lived experience.",20
90,ZAB,180,task3-TSR-2.0,train,v1-task1-SR-ZAB-180.pickle,"It's badly acted, blandly directed, and could have been scripted by someone who just graduated from elementary school.",17
91,ZAB,181,task3-TSR-2.0,train,v1-task1-SR-ZAB-181.pickle,"The sort of picture in which, whenever one of the characters has some serious soul searching to do, they go to a picture-perfect beach during sunset.",12
92,ZAB,183,task3-TSR-2.0,train,v1-task1-SR-ZAB-183.pickle,... a roller-coaster ride of a movie,6
93,ZAB,184,task3-TSR-2.0,train,v1-task1-SR-ZAB-184.pickle,"A colorful, vibrant introduction to a universal human impulse, lushly photographed and beautifully recorded.",11
94,ZAB,185,task3-TSR-2.0,train,v1-task1-SR-ZAB-185.pickle,Audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling.,14
95,ZAB,186,task3-TSR-2.0,train,v1-task1-SR-ZAB-186.pickle,Even horror fans will most likely not find what they're seeking with Trouble Every Day; the movie lacks both thrills and humor.,11
96,ZAB,187,task3-TSR-2.0,train,v1-task1-SR-ZAB-187.pickle,After that it becomes long and tedious like a classroom play in a college history course.,11
97,ZAB,188,task3-TSR-2.0,train,v1-task1-SR-ZAB-188.pickle,"This is cool, slick stuff, ready to quench the thirst of an audience that misses the summer blockbusters.",13
98,ZAB,189,task3-TSR-2.0,train,v1-task1-SR-ZAB-189.pickle,"Blade II has a brilliant director and charismatic star, but it suffers from rampant vampire devaluation.",14
99,ZAB,19,task3-TSR-2.0,train,v1-task1-SR-ZAB-19.pickle,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",25
100,ZAB,190,task3-TSR-2.0,train,v1-task1-SR-ZAB-190.pickle,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.",14
101,ZAB,191,task3-TSR-2.0,train,v1-task1-SR-ZAB-191.pickle,"For VeggieTales fans, this is more appetizing than a side dish of asparagus.",12
102,ZAB,192,task3-TSR-2.0,train,v1-task1-SR-ZAB-192.pickle,"While it regards 1967 as the key turning point of the 20th century, and returns again and again to images of dissidents in the streets, it's alarmingly current.",22
103,ZAB,193,task3-TSR-2.0,train,v1-task1-SR-ZAB-193.pickle,A truly wonderful tale combined with stunning animation.,7
104,ZAB,194,task3-TSR-2.0,train,v1-task1-SR-ZAB-194.pickle,"Nothing sticks, really, except a lingering creepiness one feels from being dragged through a sad, sordid universe of guns, drugs, avarice and damaged dreams.",24
105,ZAB,195,task3-TSR-2.0,train,v1-task1-SR-ZAB-195.pickle,``Simone'' is a fun and funky look into an artificial creation in a world that thrives on artificiality.,12
106,ZAB,196,task3-TSR-2.0,train,v1-task1-SR-ZAB-196.pickle,"It's a hoot watching The Rock chomp on jumbo ants, pull an arrow out of his back, and leap unscathed through raging fire!",20
107,ZAB,197,task3-TSR-2.0,train,v1-task1-SR-ZAB-197.pickle,"While Tattoo borrows heavily from both Seven and The Silence of the Lambs, it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in.",18
108,ZAB,198,task3-TSR-2.0,train,v1-task1-SR-ZAB-198.pickle,A portrait of an artist.,4
109,ZAB,199,task3-TSR-2.0,train,v1-task1-SR-ZAB-199.pickle,"As written by Michael Berg and Michael J. Wilson from a story by Wilson, this relentless, all-wise-guys-all-the-time approach tries way too hard and gets tiring in no time at all.",19
110,ZAB,2,task3-TSR-2.0,train,v1-task1-SR-ZAB-2.pickle,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",13
111,ZAB,20,task3-TSR-2.0,train,v1-task1-SR-ZAB-20.pickle,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",16
112,ZAB,200,task3-TSR-2.0,train,v1-task1-SR-ZAB-200.pickle,"It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured.",17
113,ZAB,201,task3-TSR-2.0,train,v1-task1-SR-ZAB-201.pickle,This is one of the biggest disappointments of the year.,7
114,ZAB,202,task3-TSR-2.0,train,v1-task1-SR-ZAB-202.pickle,It never fails to engage us.,6
115,ZAB,203,task3-TSR-2.0,train,v1-task1-SR-ZAB-203.pickle,"Denis forges out of the theories of class - based rage and sisterly obsession a razor-sided tuning fork that rings with cultural, sexual and social discord.",22
116,ZAB,206,task3-TSR-2.0,train,v1-task1-SR-ZAB-206.pickle,"Like the best of Godard's movies... it is visually ravishing, penetrating, impenetrable.",9
117,ZAB,207,task3-TSR-2.0,train,v1-task1-SR-ZAB-207.pickle,The cumulative effect of the movie is repulsive and depressing.,8
118,ZAB,208,task3-TSR-2.0,train,v1-task1-SR-ZAB-208.pickle,"Feels like nothing quite so much as a middle-aged moviemaker's attempt to surround himself with beautiful, half-naked women.",15
119,ZAB,209,task3-TSR-2.0,train,v1-task1-SR-ZAB-209.pickle,"A very long movie, dull in stretches, with entirely too much focus on meal preparation and igloo construction.",15
120,ZAB,21,task3-TSR-2.0,train,v1-task1-SR-ZAB-21.pickle,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,12
121,ZAB,210,task3-TSR-2.0,train,v1-task1-SR-ZAB-210.pickle,"In XXX, Diesel is that rare creature -- an action hero with table manners, and one who proves that elegance is more than tattoo deep.",16
122,ZAB,211,task3-TSR-2.0,train,v1-task1-SR-ZAB-211.pickle,I'm not sure which will take longer to heal: the welt on Johnny Knoxville's stomach from a riot-control projectile or my own tortured psyche.,19
123,ZAB,212,task3-TSR-2.0,train,v1-task1-SR-ZAB-212.pickle,"While Serving Sara does have a long way to go before it reaches the level of crudity in the latest Austin Powers extravaganza, there's nothing here to match that movie's intermittent moments of inspiration.",25
124,ZAB,213,task3-TSR-2.0,train,v1-task1-SR-ZAB-213.pickle,"It's difficult to conceive of anyone who has reached puberty actually finding the characters in Slackers or their antics amusing, let alone funny.",19
125,ZAB,214,task3-TSR-2.0,train,v1-task1-SR-ZAB-214.pickle,"It never is, not fully.",5
126,ZAB,215,task3-TSR-2.0,train,v1-task1-SR-ZAB-215.pickle,"Not only is Undercover Brother as funny, if not more so, than both Austin Powers films, but it's also one of the smarter, savvier spoofs to come along in some time.",27
127,ZAB,216,task3-TSR-2.0,train,v1-task1-SR-ZAB-216.pickle,It should be mentioned that the set design and interiors of the haunted vessel are more than effectively creepy and moodily lit.,16
128,ZAB,217,task3-TSR-2.0,train,v1-task1-SR-ZAB-217.pickle,"With the exception of some fleetingly amusing improvisations by Cedric the Entertainer as Perry's boss, there isn't a redeeming moment here.",16
129,ZAB,218,task3-TSR-2.0,train,v1-task1-SR-ZAB-218.pickle,It's a funny little movie with clever dialogue and likeable characters.,10
130,ZAB,219,task3-TSR-2.0,train,v1-task1-SR-ZAB-219.pickle,"``13 Conversations'' holds its goodwill close, but is relatively slow to come to the point.",11
131,ZAB,22,task3-TSR-2.0,train,v1-task1-SR-ZAB-22.pickle,Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes.,12
132,ZAB,220,task3-TSR-2.0,train,v1-task1-SR-ZAB-220.pickle,"Not the kind of film that will appeal to a mainstream American audience, but there is a certain charm about the film that makes it a suitable entry into the fest circuit.",23
133,ZAB,221,task3-TSR-2.0,train,v1-task1-SR-ZAB-221.pickle,"You come away wishing, though, that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story.",28
134,ZAB,222,task3-TSR-2.0,train,v1-task1-SR-ZAB-222.pickle,The movie is virtually without context -- journalistic or historical.,8
135,ZAB,223,task3-TSR-2.0,train,v1-task1-SR-ZAB-223.pickle,"After sitting through this sloppy, made-for-movie comedy special, it makes me wonder if Lawrence hates criticism so much that he refuses to evaluate his own work.",22
136,ZAB,224,task3-TSR-2.0,train,v1-task1-SR-ZAB-224.pickle,Genuinely touching because it's realistic about all kinds of love.,8
137,ZAB,225,task3-TSR-2.0,train,v1-task1-SR-ZAB-225.pickle,"For all the complications, it's all surprisingly predictable.",7
138,ZAB,226,task3-TSR-2.0,train,v1-task1-SR-ZAB-226.pickle,"Armed with a game supporting cast, from the pitch-perfect Forster to the always hilarious Meara and Levy, Like Mike shoots and scores, doing its namesake proud.",22
139,ZAB,227,task3-TSR-2.0,train,v1-task1-SR-ZAB-227.pickle,It will guarantee to have you leaving the theater with a smile on your face.,11
140,ZAB,228,task3-TSR-2.0,train,v1-task1-SR-ZAB-228.pickle,"The misery of these people becomes just another voyeuristic spectacle, to be consumed and forgotten.",13
141,ZAB,229,task3-TSR-2.0,train,v1-task1-SR-ZAB-229.pickle,"A thoroughly awful movie -- dumb, narratively chaotic, visually sloppy... a weird amalgam of `The Thing' and a geriatric `Scream.'",15
142,ZAB,23,task3-TSR-2.0,train,v1-task1-SR-ZAB-23.pickle,Another Best of the Year selection.,6
143,ZAB,230,task3-TSR-2.0,train,v1-task1-SR-ZAB-230.pickle,"One of those staggeringly well-produced, joylessly extravagant pictures that keep whooshing you from one visual marvel to the next, hastily, emptily.",17
144,ZAB,231,task3-TSR-2.0,train,v1-task1-SR-ZAB-231.pickle,"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs, Red Dragon rates as an exceptional thriller.",17
145,ZAB,232,task3-TSR-2.0,train,v1-task1-SR-ZAB-232.pickle,"The movie has no respect for laws, political correctness or common decency, but it displays something more important: respect for its flawed, crazy people.",20
146,ZAB,233,task3-TSR-2.0,train,v1-task1-SR-ZAB-233.pickle,"In a strange way, Egoyan has done too much.",7
147,ZAB,234,task3-TSR-2.0,train,v1-task1-SR-ZAB-234.pickle,"After seeing the film, I can tell you that there's no other reason why anyone should bother remembering it.",12
148,ZAB,235,task3-TSR-2.0,train,v1-task1-SR-ZAB-235.pickle,The film is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work.,12
149,ZAB,236,task3-TSR-2.0,train,v1-task1-SR-ZAB-236.pickle,"In some ways, Lagaan is quintessential Bollywood.",7
150,ZAB,237,task3-TSR-2.0,train,v1-task1-SR-ZAB-237.pickle,"Pacino and Williams seem to keep upping the ante on each other, just as their characters do in the film.",14
151,ZAB,238,task3-TSR-2.0,train,v1-task1-SR-ZAB-238.pickle,"It would be disingenuous to call Reno a great film, but you can say that about most of the flicks moving in and out of the multiplex.",19
152,ZAB,239,task3-TSR-2.0,train,v1-task1-SR-ZAB-239.pickle,"Some movies can get by without being funny simply by structuring the scenes as if they were jokes: a setup, delivery and payoff.",17
153,ZAB,24,task3-TSR-2.0,train,v1-task1-SR-ZAB-24.pickle,It's all a rather shapeless good time...,8
154,ZAB,240,task3-TSR-2.0,train,v1-task1-SR-ZAB-240.pickle,Narc can only remind us of brilliant crime dramas without becoming one itself.,11
155,ZAB,241,task3-TSR-2.0,train,v1-task1-SR-ZAB-241.pickle,Narc is a no-bull throwback to 1970s action films.,8
156,ZAB,242,task3-TSR-2.0,train,v1-task1-SR-ZAB-242.pickle,Intriguing and downright intoxicating.,5
157,ZAB,243,task3-TSR-2.0,train,v1-task1-SR-ZAB-243.pickle,"The wonderful combination of the sweetness and the extraordinary technical accomplishments of the first film are maintained, but its overall impact falls a little flat with a storyline that never quite delivers the original magic.",25
158,ZAB,244,task3-TSR-2.0,train,v1-task1-SR-ZAB-244.pickle,Perhaps the most annoying thing about Who Is Cletis Tout? is that it's a crime movie made by someone who obviously knows nothing about crime.,18
159,ZAB,245,task3-TSR-2.0,train,v1-task1-SR-ZAB-245.pickle,"In addition to scoring high for originality of plot -- putting together familiar themes of family, forgiveness and love in a new way -- Lilo & Stitch has a number of other assets to commend it to movie audiences both innocent and jaded.",28
160,ZAB,246,task3-TSR-2.0,train,v1-task1-SR-ZAB-246.pickle,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths.,16
161,ZAB,247,task3-TSR-2.0,train,v1-task1-SR-ZAB-247.pickle,"At its worst, it implodes in a series of very bad special effects.",8
162,ZAB,248,task3-TSR-2.0,train,v1-task1-SR-ZAB-248.pickle,Bad and baffling from the get-go.,4
163,ZAB,249,task3-TSR-2.0,train,v1-task1-SR-ZAB-249.pickle,"The movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes.",9
164,ZAB,25,task3-TSR-2.0,train,v1-task1-SR-ZAB-25.pickle,"Same song, second verse, coulda been better, but it coulda been worse.",10
165,ZAB,251,task3-TSR-2.0,train,v1-task1-SR-ZAB-251.pickle,"To my taste, the film's comic characters come perilously close to being Amoses and Andys for a new generation.",14
166,ZAB,252,task3-TSR-2.0,train,v1-task1-SR-ZAB-252.pickle,"Although the sequel has all the outward elements of the original, the first film's lovely flakiness is gone, replaced by the forced funniness found in the dullest kiddie flicks.",23
167,ZAB,253,task3-TSR-2.0,train,v1-task1-SR-ZAB-253.pickle,"The real charm of this trifle is the deadpan comic face of its star, Jean Reno, who resembles Sly Stallone in a hot sake half-sleep.",21
168,ZAB,254,task3-TSR-2.0,train,v1-task1-SR-ZAB-254.pickle,"... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous, starring Piper Perabo in what could be her breakthrough role.",19
